Java HotSpot(TM) 64-Bit Server VM (25.66-b17) for linux-amd64 JRE (1.8.0_66-b17), built on Oct  6 2015 17:28:34 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 16466924k(12326868k free), swap 0k(0k free)
CommandLine flags: -XX:CMSFullGCsBeforeCompaction=0 -XX:CMSInitiatingOccupancyFraction=65 -XX:CMSTriggerRatio=70 -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/workspace/carkey/AppFinanceExternalData/logs/heapdump.hprof -XX:InitialHeapSize=2147483648 -XX:+ManagementServer -XX:MaxHeapSize=2147483648 -XX:MaxMetaspaceSize=268435456 -XX:MaxNewSize=838860800 -XX:MaxTenuringThreshold=6 -XX:MetaspaceSize=268435456 -XX:NewSize=838860800 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCMSCompactAtFullCollection -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2019-12-07T17:51:56.190+0800: 175892.909: [GC (Allocation Failure) 2019-12-07T17:51:56.190+0800: 175892.909: [ParNew: 670910K->16398K(737280K), 0.0262393 secs] 913612K->260421K(2015232K), 0.0266869 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2019-12-07T18:42:05.963+0800: 178902.682: [GC (Allocation Failure) 2019-12-07T18:42:05.965+0800: 178902.683: [ParNew: 671758K->16124K(737280K), 0.0293617 secs] 915781K->261529K(2015232K), 0.0311040 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2019-12-07T19:31:19.063+0800: 181855.782: [GC (Allocation Failure) 2019-12-07T19:31:19.063+0800: 181855.782: [ParNew: 671484K->15732K(737280K), 0.0271701 secs] 916889K->262710K(2015232K), 0.0276322 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2019-12-07T20:18:47.253+0800: 184703.972: [GC (Allocation Failure) 2019-12-07T20:18:47.253+0800: 184703.972: [ParNew: 671092K->15786K(737280K), 0.0289151 secs] 918070K->264189K(2015232K), 0.0293667 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2019-12-07T21:08:01.889+0800: 187658.608: [GC (Allocation Failure) 2019-12-07T21:08:01.890+0800: 187658.608: [ParNew: 671146K->17421K(737280K), 0.0275132 secs] 919549K->267337K(2015232K), 0.0279868 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2019-12-07T21:56:58.916+0800: 190595.635: [GC (Allocation Failure) 2019-12-07T21:56:58.917+0800: 190595.635: [ParNew: 672781K->13398K(737280K), 0.0272234 secs] 922697K->264787K(2015232K), 0.0276808 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2019-12-07T22:45:22.629+0800: 193499.348: [GC (Allocation Failure) 2019-12-07T22:45:22.629+0800: 193499.348: [ParNew: 668758K->17105K(737280K), 0.0265449 secs] 920147K->269784K(2015232K), 0.0270053 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2019-12-07T23:40:19.219+0800: 196795.938: [GC (Allocation Failure) 2019-12-07T23:40:19.219+0800: 196795.938: [ParNew: 672465K->11105K(737280K), 0.0307317 secs] 925144K->265061K(2015232K), 0.0312049 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2019-12-08T00:39:21.662+0800: 200338.380: [GC (Allocation Failure) 2019-12-08T00:39:21.662+0800: 200338.381: [ParNew: 666465K->15750K(737280K), 0.0271810 secs] 920421K->270988K(2015232K), 0.0276327 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2019-12-08T01:46:24.262+0800: 204360.981: [GC (Allocation Failure) 2019-12-08T01:46:24.262+0800: 204360.981: [ParNew: 671110K->16482K(737280K), 0.0259232 secs] 926348K->273068K(2015232K), 0.0264099 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2019-12-08T03:04:02.705+0800: 209019.424: [GC (Allocation Failure) 2019-12-08T03:04:02.705+0800: 209019.424: [ParNew: 671842K->11151K(737280K), 0.0262161 secs] 928428K->269018K(2015232K), 0.0266658 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2019-12-08T04:37:05.855+0800: 214602.574: [GC (Allocation Failure) 2019-12-08T04:37:05.856+0800: 214602.575: [ParNew: 666511K->13161K(737280K), 0.0281813 secs] 924378K->272322K(2015232K), 0.0286343 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2019-12-08T06:11:55.904+0800: 220292.623: [GC (Allocation Failure) 2019-12-08T06:11:55.904+0800: 220292.623: [ParNew: 668521K->11159K(737280K), 0.0250486 secs] 927682K->271585K(2015232K), 0.0254919 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2019-12-08T07:36:44.984+0800: 225381.702: [GC (Allocation Failure) 2019-12-08T07:36:44.984+0800: 225381.703: [ParNew: 666519K->9606K(737280K), 0.0253197 secs] 926945K->271221K(2015232K), 0.0257746 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2019-12-08T08:39:54.007+0800: 229170.726: [GC (Allocation Failure) 2019-12-08T08:39:54.007+0800: 229170.726: [ParNew: 664966K->12319K(737280K), 0.0320374 secs] 926581K->275019K(2015232K), 0.0324885 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2019-12-08T09:32:22.911+0800: 232319.630: [GC (Allocation Failure) 2019-12-08T09:32:22.912+0800: 232319.630: [ParNew: 667679K->8802K(737280K), 0.0235152 secs] 930379K->272507K(2015232K), 0.0239943 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2019-12-08T10:20:33.624+0800: 235210.342: [GC (Allocation Failure) 2019-12-08T10:20:33.624+0800: 235210.343: [ParNew: 664162K->9981K(737280K), 0.0225157 secs] 927867K->274362K(2015232K), 0.0229618 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2019-12-08T11:03:19.448+0800: 237776.167: [GC (Allocation Failure) 2019-12-08T11:03:19.448+0800: 237776.167: [ParNew: 665337K->11357K(737280K), 0.0224396 secs] 929718K->276119K(2015232K), 0.0228588 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2019-12-08T11:49:06.493+0800: 240523.212: [GC (Allocation Failure) 2019-12-08T11:49:06.493+0800: 240523.212: [ParNew: 666710K->13094K(737280K), 0.0243551 secs] 931472K->278176K(2015232K), 0.0247990 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2019-12-08T12:33:23.568+0800: 243180.287: [GC (Allocation Failure) 2019-12-08T12:33:23.568+0800: 243180.287: [ParNew: 668454K->14943K(737280K), 0.0255723 secs] 933536K->280640K(2015232K), 0.0260292 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2019-12-08T13:20:09.272+0800: 245985.991: [GC (Allocation Failure) 2019-12-08T13:20:09.273+0800: 245985.991: [ParNew: 670303K->15973K(737280K), 0.0292858 secs] 936000K->282740K(2015232K), 0.0297223 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2019-12-08T14:06:13.423+0800: 248750.142: [GC (Allocation Failure) 2019-12-08T14:06:13.424+0800: 248750.143: [ParNew: 671326K->14806K(737280K), 0.0370529 secs] 938093K->282761K(2015232K), 0.0375098 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
